title|name|key|number|cover|pages|printedPrice|currency|releaseDate|shortReview|isbn10|edition|variant
61a41177051727206fab4a87|¡Maid Sama! #1|1|1|/panini-manga-mx/maid-sama/maid-sama-01.jpg|194|99|MXN|2014-09-09|"En la preparatoria Seika -que durante un tiempo solo era de varones- Misaki, la presidenta del Consejo Estudiantil, lucha a diario contra los hombres insolentes para proteger a todas las chicas; sin embargo, tiene un secreto: ¡trabaja medio tiempo en un ""Maid Café""!, y Usui, el chico más popular, se entera de la doble vida que lleva como presidenta y como maid.Gracias a ustedes, ha llegado el primer número de ¡Maid Sama!"|978-1-401-23696-0|1|FALSE
61a41177051727206fab4a87|¡Maid Sama! #2|2|2|/panini-manga-mx/maid-sama/maid-sama-02.jpg|194|99|MXN|2014-10-14|"¡Hoy, en ""Café Maid Latte"", es día de disfrazarse de hombre! Todo el personal se disfraza de hombre y antiende únicamente a mujeres. Misaki parece descubrir un talento oculto...Por otro lado, surgen problemas entre Misaki como presidenta del consejo estudiantil y el prestigioso instituto Miyabigaoka. ¡Es la doble vida de la presidenta y maid, en este, el tomo 2!"|978-1-401-23696-0|1|FALSE
61a41177051727206fab4a87|¡Maid Sama! #3|3|3|/panini-manga-mx/maid-sama/maid-sama-03.jpg|194|99|MXN|2014-12-04|"Comienza la segunda mitad del festival deportivo. ¡¿Misaki y Usui se transforman en la carrera de disfraces?! ¡Y en ""Maid Latte"" hay muchos planes!Con el ""Día de las Guerreras"" y el ""Día de Hermanas Menores"", Misaki conocerá un mundo totalmente nuevo. ¡También veremos a Aoi, la estrella de la red, y a Kano, el hombre misterioso de los anteojos! ¡Amos, aquí tienen el tomo 3!"|978-1-401-23696-0|1|FALSE
61a41177051727206fab4a87|¡Maid Sama! #4|4|4|/panini-manga-mx/maid-sama/maid-sama-04.jpg|194|99|MXN|2015-09-01|"¡Kano volvió a hipnotizar a Misaki, diciéndole que si se dormía, odiaría a Usui al despertar! ¡Usui se toma muy en serio su misión de no dejar dormir a Misa esa noche! Y todo ""Maid Latte"" viaja a la playa, junto con Usui. Con el mar y los trajes de baño, el romance aumenta. Además, 2 historias extra y unas palabras de la autora."|978-1-401-23696-0|1|FALSE
61a41177051727206fab4a87|¡Maid Sama! #5|5|5|/panini-manga-mx/maid-sama/maid-sama-05.jpg|194|99|MXN|2015-04-02|"Un hombre llamado Kanade Maki llega a ""Maid Latte"" queriendo comprar no solo el local, sino el edificio entero. Detrás de esta idea se encuentra Tora Igarashi, con quien tiene un fuerte vínculo. Temiendo la desaparición del negocio, Misa participa en la audición que organiza Maki, para tratar de demostrar lo mucho que le importa ""Maid Latte"". Sin embargo... ¡No te pierdas este crucial tomo!"|978-1-401-23696-0|1|FALSE
61a41177051727206fab4a87|¡Maid Sama! #6|6|6|/panini-manga-mx/maid-sama/maid-sama-06.jpg|194|99|MXN|2015-03-18|"Un nuevo estudiante llamado ""Hinata"" llega al grupo de Misaki. El chico inocente y jovial dice haber regresado a esta ciudad para volver a ver a su primer amor. Pero, ¿quién será la chica? Mientras Misaki tiene los sentimientos a flor de piel, comienza la ""escuela al aire libre"". Además, dos historias con Aoi y Yukimura como protagonistas. ¡Todo eso y más en el tomo 6!"|978-1-401-23696-0|1|FALSE
61a41177051727206fab4a87|¡Maid Sama! #7|7|7|/panini-manga-mx/maid-sama/maid-sama-07.jpg|194|99|MXN|2015-04-15|Hoy en la cafetería Maid Latte es el día del desafío de los postres, Usui será el cocinero. Misaki se disfraza y participa en el concurso, pero... ¡¿también el voraz Hinata?! En el festival cultural de la preparatoria Yumesaki, Misaki y Usui estarán mucho más cercanos que nunca. Y en una historia especial: ¡¿Logrará Aoi grabar un video que la coloque como la máxima ídolo de internet?!|978-1-401-23696-0|1|FALSE
61a41177051727206fab4a87|¡Maid Sama! #8|8|8|/panini-manga-mx/maid-sama/maid-sama-08.jpg|194|99|MXN|2015-06-17|"¿Un beso y fuegos artificiales en la noche del festival cultural? ¿Un ""TE AMO"" de la boca de Usui? ¡¿Finalmente?! Por otro lado, Hinata, quien desde su infancia está enamorado de Misaki, se da cuenta del cambio que hay entre ellos dos... ¡Además verán a los tres tontos como protagonistas por primera vez y seguiremos descubriendo acerca de la doble vida de Misaki en el día de las brujitas en ""Maid Latte""! ¡Todo eso y más en el tomo 8!"|978-1-401-23696-0|1|FALSE
61a41177051727206fab4a87|¡Maid Sama! #9|9|9|/panini-manga-mx/maid-sama/maid-sama-09.jpg|194|99|MXN|2015-07-08|¡Misaki, quien busca la reelección como presidenta, se enfrenta al ejército de hombres de primer año, que convenció a Sotaro Kano para que se postule como candidato! Misaki se aleja de Usui durante las elecciones, pero, ¡¿A quién está viendo Usui?! ¿Cuál será el resultado de las elecciones? Mientras tanto, Maid Latte celebra el cumpleaños de Misaki ¿Qué regalo le lleva Usui?¡Este es el emocionante y romántico Tomo 9!|978-1-401-23696-0|1|FALSE
61a41177051727206fab4a87|¡Maid Sama! #10|10|10|/panini-manga-mx/maid-sama/maid-sama-10.jpg|194|99|MXN|2015-08-05|Misaki y los otros visitan el Instituto Miyabigaoka para un intercambio estudiantil. ¡¿qué es lo que trama Tora Igarashi?! Por otro lado, ¿quién es la misteriosa profesora que apareció en Seika? A Misaki no le gusta darse cuenta de que casi no conoce a Usui... ¡Por fin se revelan los secretos de Usui en este impactante tomo 10!|978-1-401-23696-0|1|FALSE
61a41177051727206fab4a87|¡Maid Sama! #11|11|11|/panini-manga-mx/maid-sama/maid-sama-11.jpg|194|99|MXN|2015-08-19|Misaki queda perturbada al conocer el pasado de la familia de Usui. Al mismo tiempo, ella y Usui van de excursión a las aguas termales con Sakura y Kuga en una cita doble.¡Durante el paseo, Usui le revela algo impactante a Misaki! ¡Además, un capítulo especial donde los personajes son del género opuesto, y una historia extra con Suzuna como protagonista! ¡Amos, no se pierdan este emocionante tomo 11!|978-1-401-23696-0|1|FALSE
61a41177051727206fab4a87|¡Maid Sama! #12|12|12|/panini-manga-mx/maid-sama/maid-sama-12.jpg|194|99|MXN|2015-09-23|¡Bienvenidos de vuelta, amos! Gerald, el medio hermano inglés de Usui, llega de visita a Japón. Misaki tiene un primer encuentro muy extraño con él y se pregunta si también es un alienígena pervertido. Después de la llegada de Gerald, eventos misteriosos empiezan a ocurrir, el más preocupante quizá es la sombra misteriosa que persigue a Misaki y Usui a todas partes, ¿de quién se trata? Ikkun y su sueños a futuro protagonizan el material extra de este tomo. ¡No se pierdan, Maid Sama 12, amos!|978-1-401-23696-0|1|FALSE
61a41177051727206fab4a87|¡Maid Sama! #13|13|13|/panini-manga-mx/maid-sama/maid-sama-13.jpg|194|99|MXN|2015-10-28|Decidida a expresarle sus sentimientos a Usui, Misaki le propone una cita en un parque de diversiones el día de Navidad. Luego de dejar atrás a Cedy, quien obviamente los iba siguiendo, finalmente se quedaron solos en la rueda de la fortuna y ahí Misaki. ¡Además, en este emocionante tomo conoceremos la verdadera razón por la que la familia Walker vigila tanto a Usui!|978-1-401-23696-0|1|FALSE
61a41177051727206fab4a87|¡Maid Sama! #14|14|14|/panini-manga-mx/maid-sama/maid-sama-14.jpg|194|99|MXN|2015-11-25|Comienza el segundo día de excursión. La intensidad del romanticismo sube y Misaki nota que el ambiente de todo el grupo parece mejorar. Sin embargo, también escucha a Usui decir algo impactante... ¿Cómo reacciona Misaki ante un Usui que toma decisiones sin consultarla? ¡¿La decisión de Usui cambiará a Misaki?! ¡El tomo 14 está lleno de emoción!|978-1-401-23696-0|1|FALSE
61a41177051727206fab4a87|¡Maid Sama! #15|15|15|/panini-manga-mx/maid-sama/maid-sama-15.jpg|194|99|MXN|2015-12-16|Para obtener más información sobre Usui, un grupo de élite de Miyabigaoka llega a Maid Latte para desafiar a Usui y a Misaki. Además, ¡¿veremos una gran celebración por el cumpleaños de Usui?! Misaki, comienza a tener una sensación de alejamiento con Usui. Por otra parte, ¡¿quiénes son los extraños que invaden Seika?! En Maid Latte aparece un sujeto sospechoso. ¡El corazón de Misaki entrará en caos!|978-1-401-23696-0|1|FALSE
61a41177051727206fab4a87|¡Maid Sama! #16|16|16|/panini-manga-mx/maid-sama/maid-sama-16.jpg|194|99|MXN|2016-01-27|Aoi regresa al Maid Latte después de una ausencia prolongada. ¡¿Dice que su cuerpo está cambiando?! Como siempre, Usui pone en vilo a Misaki: decidió viajar a Inglaterra para enfrentar a su hermano Gerald. ¡¿Con qué artificios espera a Usui la familia Walker?! Además un extra especial sobre el desarrollo del amor.|978-1-401-23696-0|1|FALSE
61a41177051727206fab4a87|¡Maid Sama! #17|17|17|/panini-manga-mx/maid-sama/maid-sama-17.jpg|194|99|MXN|2016-03-02|¡Bienvenidos de vuelta, amos! La gente de Miyabigaoka está entrenando a Misaki a toda velocidad para que se convierta en una dama y vaya a Inglaterra a rescatar a Usui. Sabemos que no se puede confiar en el presidente Igarashi pero esta vez llega demasiado lejos. Mientras tanto en Inglaterra, ¡Usui se ha vuelto un rostro familiar gracias a su aparición en una revista de chismes! No se pierdan el tomo 17 que nos deja en la antesala del gran final de la serie en el tomo 18. ¡Hasta la vista, amos!|978-1-401-23696-0|1|FALSE
61a41177051727206fab4a87|¡Maid Sama! #18|18|18|/panini-manga-mx/maid-sama/maid-sama-18.jpg|194|99|MXN|2016-03-23|Después de regresar a Japón, Misaki decide presentar los exámenes de ingreso a la universidad para poder tener un futuro con Usui. Él le da un regalo inesperado en su cumpleaños. ¡¿Que algunos estudiantes de Seika fueron al Maid Latte?! ¡Con el tomo final inicia el camino hacia un futuro brillante para Misaki y Usui, ellos tendrán un mañana lleno de felicidad!|978-1-401-23696-0|1|FALSE
